arxiv_id_clean,cohort_day,cohort_size,Z1_logcompet,Z2_count,Z3_blockbuster,Z1p_othersub,ego_upvotes
2503.22236,2025-03-31,23,6.163314804034641,22,0,6.154858094016418,11
2503.22268,2025-03-31,23,6.1463292576688975,22,0,5.932245187448011,19
2503.22329,2025-03-31,23,6.156978985585555,22,0,6.156978985585555,14
2503.22622,2025-03-31,23,6.148468295917647,22,0,5.932245187448011,18
2503.22625,2025-03-31,23,6.1779441140506,22,0,6.1779441140506,4
2503.22675,2025-03-31,23,6.1092475827643655,22,0,6.1092475827643655,36
2503.14941,2025-04-01,27,6.516193076042964,26,0,6.511745329644728,5
2503.18225,2025-04-01,27,6.519147287940395,26,0,6.431331081933479,3
2503.18809,2025-04-01,27,6.51025834052315,26,0,6.376726947898627,9
2503.19794,2025-04-01,27,6.519147287940395,26,0,6.376726947898627,3
2503.19901,2025-04-01,27,6.461468176353717,26,0,6.461468176353717,41
2503.19906,2025-04-01,27,6.511745329644728,26,0,6.431331081933479,8
2503.20286,2025-04-01,27,6.519147287940395,26,0,6.493753839851686,3
2503.21694,2025-04-01,27,6.501289670540389,26,0,6.431331081933479,15
2503.22655,2025-04-01,27,6.466144724237619,26,0,6.419994928147142,38
2503.22668,2025-04-01,27,6.523562306149512,26,0,6.523562306149512,0
2503.22673,2025-04-01,27,6.505784060128229,26,0,6.489204931325317,12
2503.22677,2025-04-01,27,6.516193076042964,26,0,6.431331081933479,5
2503.23022,2025-04-01,27,6.51471269087253,26,0,6.431331081933479,6
2503.23077,2025-04-01,27,6.455198563340122,26,0,6.322565239927284,45
2503.23284,2025-04-01,27,6.489204931325317,26,0,6.431331081933479,23
2503.23307,2025-04-01,27,6.29156913955832,26,0,6.29156913955832,141
2503.23461,2025-04-01,27,6.375024819828097,26,0,6.369900982828227,94
2503.23730,2025-04-01,27,6.519147287940395,26,0,6.511745329644728,3
2503.23829,2025-04-01,27,6.48768401848461,26,0,6.322565239927284,24
2503.23913,2025-04-01,27,6.519147287940395,26,0,6.369900982828227,3
2503.24115,2025-04-01,27,6.507277712385012,26,0,6.489204931325317,11
2503.24235,2025-04-01,27,6.439350371100098,26,0,6.322565239927284,55
2503.24290,2025-04-01,27,6.428105272684596,26,0,6.376726947898627,62
2503.24364,2025-04-01,27,6.498282149476434,26,0,6.493753839851686,17
2503.24370,2025-04-01,27,6.495265555937008,26,0,6.376726947898627,19
2503.24388,2025-04-01,27,6.480044561926653,26,0,6.419994928147142,29
2503.24391,2025-04-01,27,6.51471269087253,26,0,6.51471269087253,6
2503.21860,2025-04-02,29,6.52795791762255,28,0,6.52795791762255,4
2503.22165,2025-04-02,29,6.492239835020471,28,0,6.459904454377535,28
2503.22952,2025-04-02,29,6.508769136971682,28,0,6.240275845170769,17
2503.23145,2025-04-02,29,6.481577129276431,28,0,6.481577129276431,35
2503.23157,2025-04-02,29,6.519147287940395,28,0,6.240275845170769,10
2503.23361,2025-04-02,29,6.52649485957079,28,0,6.52649485957079,5
2503.23434,2025-04-02,29,6.502790045915623,28,0,6.459904454377535,21
2503.23733,2025-04-02,29,6.519147287940395,28,0,6.401917196727186,10
2503.24210,2025-04-02,29,6.530877627725885,28,0,6.530877627725885,2
2503.24219,2025-04-02,29,6.532334292222349,28,0,6.240275845170769,1
2503.24376,2025-04-02,29,6.476972362889683,28,0,6.401917196727186,38
2503.24377,2025-04-02,29,6.507277712385012,28,0,6.369900982828227,18
2503.24379,2025-04-02,29,6.416732282512326,28,0,6.386879319362645,76
2504.00050,2025-04-02,29,6.440946540632921,28,0,6.240275845170769,61
2504.00072,2025-04-02,29,6.525029657843462,28,0,6.525029657843462,6
2504.00294,2025-04-02,29,6.519147287940395,28,0,6.240275845170769,10
2504.00509,2025-04-02,29,6.498282149476434,28,0,6.240275845170769,24
2504.00557,2025-04-02,29,6.511745329644728,28,0,6.476972362889683,15
2504.00595,2025-04-02,29,6.478509642208569,28,0,6.401917196727186,37
2504.00698,2025-04-02,29,6.489204931325317,28,0,6.369900982828227,30
2504.00810,2025-04-02,29,6.493753839851686,28,0,6.240275845170769,27
2504.00869,2025-04-02,29,6.519147287940395,28,0,6.240275845170769,10
2504.00906,2025-04-02,29,6.493753839851686,28,0,6.493753839851686,27
2504.00927,2025-04-02,29,6.448889394146858,28,0,6.369900982828227,56
2504.01005,2025-04-02,29,6.511745329644728,28,0,6.240275845170769,15
2504.01016,2025-04-02,29,6.489204931325317,28,0,6.489204931325317,30
2504.01017,2025-04-02,29,6.484635235635252,28,0,6.484635235635252,33
2504.01019,2025-04-02,29,6.507277712385012,28,0,6.386879319362645,18
2504.01833,2025-04-02,29,6.499787040655854,28,0,6.476972362889683,23
2405.20216,2025-04-03,22,6.484635235635252,21,0,6.0330862217988015,21
2502.18924,2025-04-03,22,6.492239835020471,21,0,6.284134161070802,16
2503.18817,2025-04-03,22,6.511745329644728,21,0,6.3578422665081,3
2503.18950,2025-04-03,22,6.51025834052315,21,0,6.284134161070802,4
2503.20783,2025-04-03,22,6.423246963533519,21,0,6.423246963533519,60
2503.22879,2025-04-03,22,6.502790045915623,21,0,6.486160788944089,9
2503.23135,2025-04-03,22,6.499787040655854,21,0,6.486160788944089,11
2503.23368,2025-04-03,22,6.455198563340122,21,0,6.0330862217988015,40
2503.23573,2025-04-03,22,6.498282149476434,21,0,6.3578422665081,12
2503.23798,2025-04-03,22,6.507277712385012,21,0,6.507277712385012,6
2504.00406,2025-04-03,22,6.504288173536645,21,0,6.504288173536645,8
2504.00824,2025-04-03,22,6.450470422144176,21,0,6.450470422144176,43
2504.00883,2025-04-03,22,6.411818267709897,21,0,6.0330862217988015,67
2504.00999,2025-04-03,22,6.361302477572996,21,0,6.284134161070802,97
2504.01014,2025-04-03,22,6.406879986069314,21,0,6.3578422665081,70
2504.01201,2025-04-03,22,6.511745329644728,21,0,6.511745329644728,3
2504.01204,2025-04-03,22,6.481577129276431,21,0,6.284134161070802,23
2504.01308,2025-04-03,22,6.495265555937008,21,0,6.3578422665081,14
2504.01724,2025-04-03,22,6.410174881966167,21,0,6.0330862217988015,68
2504.01848,2025-04-03,22,6.459904454377535,21,0,6.459904454377535,37
2504.01934,2025-04-03,22,6.483107351457199,21,0,6.0330862217988015,22
2504.01956,2025-04-03,22,6.453624998892692,21,0,6.0330862217988015,41
2503.22444,2025-04-04,23,6.874198495453294,22,1,6.4967749901858625,12
2503.23162,2025-04-04,23,6.876264611890766,22,1,6.756932389247553,10
2503.23377,2025-04-04,23,6.826545223556594,22,1,6.647688373563329,57
2503.23542,2025-04-04,23,6.877296071497429,22,1,6.877296071497429,9
2504.00502,2025-04-04,23,6.859614903654202,22,1,6.647688373563329,26
2504.00891,2025-04-04,23,6.872128101338986,22,1,6.859614903654202,14
2504.00939,2025-04-04,23,6.848005274576363,22,1,6.837332814685591,37
2504.01871,2025-04-04,23,6.874198495453294,22,1,6.859614903654202,12
2504.01943,2025-04-04,23,6.8679744089702925,22,1,6.77078942390898,18
2504.01955,2025-04-04,23,6.882437470997847,22,1,6.882437470997847,4
2504.01990,2025-04-04,23,6.51471269087253,22,0,6.4967749901858625,304
2504.02012,2025-04-04,23,6.881411303642535,22,1,6.881411303642535,5
2504.02119,2025-04-04,23,6.870053411798126,22,1,6.870053411798126,16
2504.02154,2025-04-04,23,6.8679744089702925,22,1,6.647688373563329,18
2504.02398,2025-04-04,23,6.854354502255021,22,1,6.77078942390898,31
2504.02436,2025-04-04,23,6.84587987526405,22,1,6.647688373563329,39
2504.02495,2025-04-04,23,6.825460036255307,22,1,6.77078942390898,58
2504.02507,2025-04-04,23,6.7912214627261855,22,1,6.754604099487962,89
2504.02542,2025-04-04,23,6.831953565565855,22,1,6.756932389247553,52
