arxiv_id_clean,cohort_day,day_total,day_count,own_kw_cell_sum,Z1p_kw,Zc_kw,Zown_loo_kw,kw_cell_size,kw_singleton
2408.11812,2024-08-22,211,12,6,5.327876168789581,2.4849066497880004,0.0,1,1
2408.11817,2024-08-22,211,12,9,5.313205979041787,2.4849066497880004,0.0,1,1
2408.09787,2024-08-23,615,20,180,6.077642243349034,2.70805020110221,5.14166355650266,6,0
2408.10635,2024-08-23,615,20,26,6.380122536899765,2.9444389791664403,2.5649493574615367,2,0
2408.11813,2024-08-23,615,20,180,6.077642243349034,2.70805020110221,5.1298987149230735,6,0
2408.11857,2024-08-23,615,20,60,6.320768294250582,2.995732273553991,0.0,1,1
2408.11878,2024-08-23,615,20,180,6.077642243349034,2.70805020110221,4.762173934797756,6,0
2408.11915,2024-08-23,615,20,8,6.410174881966167,2.995732273553991,0.0,1,1
2408.12060,2024-08-23,615,20,33,6.368187186350492,2.9444389791664403,3.332204510175204,2,0
2408.12076,2024-08-23,615,20,26,6.380122536899765,2.9444389791664403,2.70805020110221,2,0
2408.12114,2024-08-23,615,20,180,6.077642243349034,2.70805020110221,5.111987788356544,6,0
2408.12245,2024-08-23,615,20,85,6.274762021241939,2.833213344056216,4.0943445622221,4,0
2408.12282,2024-08-23,615,20,85,6.274762021241939,2.833213344056216,4.3694478524670215,4,0
2408.12480,2024-08-23,615,20,180,6.077642243349034,2.70805020110221,5.030437921392435,6,0
2408.12503,2024-08-23,615,20,33,6.368187186350492,2.9444389791664403,1.9459101490553132,2,0
2408.12528,2024-08-23,615,20,180,6.077642243349034,2.70805020110221,4.867534450455582,6,0
2408.12569,2024-08-23,615,20,126,6.194405391104672,2.9444389791664403,3.5263605246161616,2,0
2408.12570,2024-08-23,615,20,126,6.194405391104672,2.9444389791664403,4.543294782270004,2,0
2408.12588,2024-08-23,615,20,85,6.274762021241939,2.833213344056216,4.23410650459726,4,0
2408.12590,2024-08-23,615,20,85,6.274762021241939,2.833213344056216,3.9318256327243257,4,0
2408.12599,2024-08-23,615,20,65,6.311734809152915,2.995732273553991,0.0,1,1
2408.12601,2024-08-23,615,20,32,6.369900982828227,2.995732273553991,0.0,1,1
2408.10945,2024-08-26,282,12,170,4.727387818712341,2.302585092994046,5.081404364984463,3,0
2408.12369,2024-08-26,282,12,5,5.627621113690637,2.4849066497880004,0.0,1,1
2408.12418,2024-08-26,282,12,46,5.4680601411351315,2.1972245773362196,3.7612001156935624,4,0
2408.12637,2024-08-26,282,12,170,4.727387818712341,2.302585092994046,3.6109179126442243,3,0
2408.12857,2024-08-26,282,12,15,5.5909869805108565,2.4849066497880004,0.0,1,1
2408.12885,2024-08-26,282,12,13,5.598421958998375,2.4849066497880004,0.0,1,1
2408.12894,2024-08-26,282,12,46,5.4680601411351315,2.1972245773362196,3.7376696182833684,4,0
2408.13010,2024-08-26,282,12,33,5.521460917862246,2.3978952727983707,3.1780538303479458,2,0
2408.13233,2024-08-26,282,12,33,5.521460917862246,2.3978952727983707,2.3978952727983707,2,0
2408.13239,2024-08-26,282,12,46,5.4680601411351315,2.1972245773362196,3.58351893845611,4,0
2408.13252,2024-08-26,282,12,46,5.4680601411351315,2.1972245773362196,3.044522437723423,4,0
2408.13257,2024-08-26,282,12,170,4.727387818712341,2.302585092994046,4.976733742420574,3,0
2408.11727,2024-08-27,368,14,32,5.820082930352362,2.5649493574615367,2.995732273553991,2,0
2408.12757,2024-08-27,368,14,32,5.820082930352362,2.5649493574615367,2.6390573296152584,2,0
2408.13359,2024-08-27,368,14,62,5.726847747587197,2.4849066497880004,3.6888794541139363,3,0
2408.13402,2024-08-27,368,14,124,5.501258210544727,2.4849066497880004,4.672828834461906,3,0
2408.13413,2024-08-27,368,14,84,5.652489180268651,2.3978952727983707,4.2626798770413155,4,0
2408.13423,2024-08-27,368,14,84,5.652489180268651,2.3978952727983707,4.127134385045092,4,0
2408.13467,2024-08-27,368,14,25,5.840641657373398,2.6390573296152584,0.0,1,1
2408.13933,2024-08-27,368,14,62,5.726847747587197,2.4849066497880004,3.8501476017100584,3,0
2408.13934,2024-08-27,368,14,62,5.726847747587197,2.4849066497880004,3.6888794541139363,3,0
2408.14176,2024-08-27,368,14,124,5.501258210544727,2.4849066497880004,4.143134726391533,3,0
2408.14211,2024-08-27,368,14,84,5.652489180268651,2.3978952727983707,4.31748811353631,4,0
2408.14340,2024-08-27,368,14,124,5.501258210544727,2.4849066497880004,4.394449154672439,3,0
2408.14354,2024-08-27,368,14,41,5.793013608384144,2.6390573296152584,0.0,1,1
2408.14468,2024-08-27,368,14,84,5.652489180268651,2.3978952727983707,3.871201010907891,4,0
2408.13629,2024-08-28,444,12,5,6.0867747269123065,2.4849066497880004,0.0,1,1
2408.13674,2024-08-28,444,12,196,5.517452896464707,2.1972245773362196,5.187385805840755,4,0
2408.14236,2024-08-28,444,12,5,6.0867747269123065,2.4849066497880004,0.0,1,1
2408.14307,2024-08-28,444,12,5,6.0867747269123065,2.4849066497880004,0.0,1,1
2408.14717,2024-08-28,444,12,170,5.616771097666572,2.3978952727983707,4.976733742420574,2,0
2408.14805,2024-08-28,444,12,16,6.061456918928017,2.4849066497880004,0.0,1,1
2408.14819,2024-08-28,444,12,196,5.517452896464707,2.1972245773362196,5.1647859739235145,4,0
2408.14837,2024-08-28,444,12,196,5.517452896464707,2.1972245773362196,4.2626798770413155,4,0
2408.14849,2024-08-28,444,12,5,6.0867747269123065,2.4849066497880004,0.0,1,1
2408.14906,2024-08-28,444,12,170,5.616771097666572,2.3978952727983707,3.295836866004329,2,0
2408.15237,2024-08-28,444,12,42,5.998936561946683,2.4849066497880004,0.0,1,1
2408.15239,2024-08-28,444,12,196,5.517452896464707,2.1972245773362196,5.117993812416755,4,0
2408.15079,2024-08-29,326,13,56,5.602118820879701,2.5649493574615367,0.0,1,1
2408.15496,2024-08-29,326,13,88,5.476463551931511,2.302585092994046,4.343805421853684,4,0
2408.15518,2024-08-29,326,13,88,5.476463551931511,2.302585092994046,3.8501476017100584,4,0
2408.15664,2024-08-29,326,13,88,5.476463551931511,2.302585092994046,4.30406509320417,4,0
2408.15708,2024-08-29,326,13,30,5.6937321388027,2.3978952727983707,3.1354942159291497,3,0
2408.15792,2024-08-29,326,13,44,5.645446897643238,2.3978952727983707,3.2188758248682006,3,0
2408.15836,2024-08-29,326,13,44,5.645446897643238,2.3978952727983707,3.4339872044851463,3,0
2408.15881,2024-08-29,326,13,108,5.389071729816501,2.4849066497880004,4.477336814478207,2,0
2408.15915,2024-08-29,326,13,88,5.476463551931511,2.302585092994046,4.248495242049359,4,0
2408.15980,2024-08-29,326,13,44,5.645446897643238,2.3978952727983707,3.5553480614894135,3,0
2408.15991,2024-08-29,326,13,30,5.6937321388027,2.3978952727983707,2.6390573296152584,3,0
2408.15995,2024-08-29,326,13,30,5.6937321388027,2.3978952727983707,3.258096538021482,3,0
2408.15998,2024-08-29,326,13,108,5.389071729816501,2.4849066497880004,3.091042453358316,2,0
2408.14608,2024-08-30,353,11,36,5.762051382780177,2.302585092994046,3.367295829986474,2,0
2408.15666,2024-08-30,353,11,12,5.834810737062605,2.3978952727983707,0.0,1,1
2408.16046,2024-08-30,353,11,60,5.683579767338681,2.1972245773362196,3.9318256327243257,3,0
2408.16061,2024-08-30,353,11,65,5.666426688112432,2.302585092994046,3.9318256327243257,2,0
2408.16293,2024-08-30,353,11,27,5.7899601708972535,2.3978952727983707,0.0,1,1
2408.16357,2024-08-30,353,11,153,5.303304908059076,2.302585092994046,4.07753744390572,2,0
2408.16500,2024-08-30,353,11,153,5.303304908059076,2.302585092994046,4.564348191467836,2,0
2408.16532,2024-08-30,353,11,65,5.666426688112432,2.302585092994046,2.772588722239781,2,0
2408.16766,2024-08-30,353,11,60,5.683579767338681,2.1972245773362196,3.7612001156935624,3,0
2408.16767,2024-08-30,353,11,60,5.683579767338681,2.1972245773362196,3.367295829986474,3,0
2408.16768,2024-08-30,353,11,36,5.762051382780177,2.302585092994046,2.1972245773362196,2,0
2408.14572,2024-09-02,196,16,8,5.241747015059643,2.772588722239781,0.0,1,1
2408.14765,2024-09-02,196,16,50,4.990432586778736,2.6390573296152584,3.58351893845611,3,0
2408.14886,2024-09-02,196,16,56,4.948759890378168,2.6390573296152584,3.828641396489095,3,0
2408.15300,2024-09-02,196,16,17,5.19295685089021,2.70805020110221,2.70805020110221,2,0
2408.15545,2024-09-02,196,16,56,4.948759890378168,2.6390573296152584,2.9444389791664403,3,0
2408.15827,2024-09-02,196,16,56,4.948759890378168,2.6390573296152584,3.912023005428146,3,0
2408.15914,2024-09-02,196,16,50,4.990432586778736,2.6390573296152584,3.295836866004329,3,0
2408.15993,2024-09-02,196,16,26,5.14166355650266,2.5649493574615367,2.9444389791664403,4,0
2408.16176,2024-09-02,196,16,31,5.111987788356544,2.70805020110221,3.1780538303479458,2,0
2408.16245,2024-09-02,196,16,26,5.14166355650266,2.5649493574615367,3.044522437723423,4,0
2408.16444,2024-09-02,196,16,8,5.241747015059643,2.772588722239781,0.0,1,1
2408.16667,2024-09-02,196,16,26,5.14166355650266,2.5649493574615367,3.2188758248682006,4,0
2408.16672,2024-09-02,196,16,26,5.14166355650266,2.5649493574615367,2.833213344056216,4,0
2408.17024,2024-09-02,196,16,17,5.19295685089021,2.70805020110221,1.3862943611198906,2,0
2408.17131,2024-09-02,196,16,50,4.990432586778736,2.6390573296152584,3.6888794541139363,3,0
2408.17267,2024-09-02,196,16,31,5.111987788356544,2.70805020110221,2.1972245773362196,2,0
2408.16725,2024-09-03,92,2,53,3.6888794541139363,0.6931471805599453,0.0,1,1
2408.17253,2024-09-03,92,2,39,3.9889840465642745,0.6931471805599453,0.0,1,1
2409.00138,2024-09-04,510,19,1,6.234410725718371,2.9444389791664403,0.0,1,1
2409.00391,2024-09-04,510,19,5,6.226536669287466,2.9444389791664403,0.0,1,1
2409.00447,2024-09-04,510,19,59,6.113682179832232,2.833213344056216,4.04305126783455,3,0
2409.00492,2024-09-04,510,19,171,5.8289456176102075,2.4849066497880004,5.081404364984463,8,0
2409.00509,2024-09-04,510,19,59,6.113682179832232,2.833213344056216,2.8903717578961645,3,0
2409.00558,2024-09-04,510,19,171,5.8289456176102075,2.4849066497880004,5.056245805348308,8,0
2409.00587,2024-09-04,510,19,171,5.8289456176102075,2.4849066497880004,4.9344739331306915,8,0
2409.00588,2024-09-04,510,19,171,5.8289456176102075,2.4849066497880004,5.0238805208462765,8,0
2409.00729,2024-09-04,510,19,59,6.113682179832232,2.833213344056216,3.828641396489095,3,0
2409.01055,2024-09-04,510,19,171,5.8289456176102075,2.4849066497880004,5.111987788356544,8,0
2409.01071,2024-09-04,510,19,36,6.163314804034641,2.8903717578961645,2.302585092994046,2,0
2409.01199,2024-09-04,510,19,171,5.8289456176102075,2.4849066497880004,5.062595033026967,8,0
2409.01357,2024-09-04,510,19,3,6.230481447578482,2.9444389791664403,0.0,1,1
2409.01392,2024-09-04,510,19,36,6.163314804034641,2.8903717578961645,3.332204510175204,2,0
2409.01437,2024-09-04,510,19,154,5.877735781779639,2.8903717578961645,4.430816798843313,2,0
2409.01704,2024-09-04,510,19,154,5.877735781779639,2.8903717578961645,4.276666119016055,2,0
2409.02060,2024-09-04,510,19,81,6.063785208687608,2.9444389791664403,0.0,1,1
2409.02095,2024-09-04,510,19,171,5.8289456176102075,2.4849066497880004,4.897839799950911,8,0
2409.02097,2024-09-04,510,19,171,5.8289456176102075,2.4849066497880004,4.927253685157205,8,0
2409.01083,2024-09-05,293,8,54,5.480638923341991,1.9459101490553132,3.5553480614894135,2,0
2409.02078,2024-09-05,293,8,11,5.645446897643238,2.0794415416798357,0.0,1,1
2409.02245,2024-09-05,293,8,107,5.231108616854587,1.9459101490553132,4.584967478670572,2,0
2409.02326,2024-09-05,293,8,19,5.616771097666572,2.0794415416798357,0.0,1,1
2409.02634,2024-09-05,293,8,107,5.231108616854587,1.9459101490553132,2.3978952727983707,2,0
2409.02813,2024-09-05,293,8,54,5.480638923341991,1.9459101490553132,3.044522437723423,2,0
2409.02889,2024-09-05,293,8,54,5.480638923341991,2.0794415416798357,0.0,1,1
2409.02897,2024-09-05,293,8,48,5.5053315359323625,2.0794415416798357,0.0,1,1
2409.00844,2024-09-06,397,12,95,5.713732805509369,2.1972245773362196,4.430816798843313,4,0
2409.00921,2024-09-06,397,12,4,5.976350909297934,2.4849066497880004,0.0,1,1
2409.01322,2024-09-06,397,12,123,5.616771097666572,2.3978952727983707,3.332204510175204,2,0
2409.01944,2024-09-06,397,12,95,5.713732805509369,2.1972245773362196,3.9318256327243257,4,0
2409.02392,2024-09-06,397,12,108,5.66988092298052,2.3978952727983707,4.532599493153256,2,0
2409.03420,2024-09-06,397,12,26,5.918893854273146,2.4849066497880004,0.0,1,1
2409.03512,2024-09-06,397,12,29,5.910796644040527,2.4849066497880004,0.0,1,1
2409.03525,2024-09-06,397,12,12,5.955837369464831,2.4849066497880004,0.0,1,1
2409.03643,2024-09-06,397,12,95,5.713732805509369,2.1972245773362196,4.343805421853684,4,0
2409.03718,2024-09-06,397,12,123,5.616771097666572,2.3978952727983707,4.574710978503383,2,0
2409.03752,2024-09-06,397,12,108,5.66988092298052,2.3978952727983707,2.833213344056216,2,0
2409.03753,2024-09-06,397,12,95,5.713732805509369,2.1972245773362196,4.343805421853684,4,0
2409.02076,2024-09-09,140,6,12,4.859812404361672,1.791759469228055,0.0,1,1
2409.02877,2024-09-09,140,6,32,4.6913478822291435,1.791759469228055,0.0,1,1
2409.03810,2024-09-09,140,6,35,4.663439094112067,1.791759469228055,0.0,1,1
2409.04005,2024-09-09,140,6,61,4.382026634673881,1.3862943611198906,3.7612001156935624,3,0
2409.04196,2024-09-09,140,6,61,4.382026634673881,1.3862943611198906,3.8066624897703196,3,0
2409.04410,2024-09-09,140,6,61,4.382026634673881,1.3862943611198906,3.6109179126442243,3,0
2409.02795,2024-09-10,305,12,83,5.407171771460119,2.3978952727983707,2.4849066497880004,2,0
2409.04234,2024-09-10,305,12,9,5.6937321388027,2.4849066497880004,0.0,1,1
2409.04269,2024-09-10,305,12,20,5.655991810819852,2.3978952727983707,2.1972245773362196,2,0
2409.04593,2024-09-10,305,12,90,5.375278407684165,2.302585092994046,4.1588830833596715,3,0
2409.04828,2024-09-10,305,12,88,5.384495062789089,2.302585092994046,4.174387269895637,3,0
2409.05152,2024-09-10,305,12,90,5.375278407684165,2.302585092994046,4.07753744390572,3,0
2409.05177,2024-09-10,305,12,20,5.655991810819852,2.3978952727983707,2.5649493574615367,2,0
2409.05591,2024-09-10,305,12,90,5.375278407684165,2.302585092994046,4.0943445622221,3,0
2409.05806,2024-09-10,305,12,15,5.673323267171493,2.4849066497880004,0.0,1,1
2409.05840,2024-09-10,305,12,88,5.384495062789089,2.302585092994046,3.6888794541139363,3,0
2409.05862,2024-09-10,305,12,83,5.407171771460119,2.3978952727983707,4.290459441148391,2,0
2409.05865,2024-09-10,305,12,88,5.384495062789089,2.302585092994046,4.30406509320417,3,0
2409.06029,2024-09-11,180,7,22,5.0689042022202315,1.9459101490553132,0.0,1,1
2409.06135,2024-09-11,180,7,76,4.653960350157523,1.791759469228055,4.110873864173311,2,0
2409.06210,2024-09-11,180,7,26,5.043425116919247,1.9459101490553132,0.0,1,1
2409.06595,2024-09-11,180,7,38,4.962844630259907,1.9459101490553132,0.0,1,1
2409.06633,2024-09-11,180,7,18,5.093750200806762,1.791759469228055,1.3862943611198906,2,0
2409.06666,2024-09-11,180,7,76,4.653960350157523,1.791759469228055,2.833213344056216,2,0
2409.06703,2024-09-11,180,7,18,5.093750200806762,1.791759469228055,2.772588722239781,2,0
2409.04057,2024-09-12,301,14,74,5.429345628954441,2.5649493574615367,4.04305126783455,2,0
2409.06185,2024-09-12,301,14,99,5.313205979041787,2.3978952727983707,4.442651256490317,4,0
2409.06744,2024-09-12,301,14,99,5.313205979041787,2.3978952727983707,4.5217885770490405,4,0
2409.06762,2024-09-12,301,14,65,5.4680601411351315,2.302585092994046,4.07753744390572,5,0
2409.06765,2024-09-12,301,14,65,5.4680601411351315,2.302585092994046,3.8918202981106265,5,0
2409.06820,2024-09-12,301,14,99,5.313205979041787,2.3978952727983707,3.4657359027997265,4,0
2409.07129,2024-09-12,301,14,65,5.4680601411351315,2.302585092994046,4.060443010546419,5,0
2409.07146,2024-09-12,301,14,20,5.641907070938114,2.6390573296152584,0.0,1,1
2409.07314,2024-09-12,301,14,74,5.429345628954441,2.5649493574615367,2.9444389791664403,2,0
2409.07429,2024-09-12,301,14,32,5.598421958998375,2.6390573296152584,0.0,1,1
2409.07440,2024-09-12,301,14,99,5.313205979041787,2.3978952727983707,4.5217885770490405,4,0
2409.07441,2024-09-12,301,14,65,5.4680601411351315,2.302585092994046,3.9889840465642745,5,0
2409.07450,2024-09-12,301,14,11,5.673323267171493,2.6390573296152584,0.0,1,1
2409.07452,2024-09-12,301,14,65,5.4680601411351315,2.302585092994046,3.8066624897703196,5,0
2409.04109,2024-09-13,272,10,96,5.176149732573829,2.1972245773362196,3.8918202981106265,2,0
2409.05162,2024-09-13,272,10,74,5.293304824724492,1.791759469228055,4.189654742026425,5,0
2409.07239,2024-09-13,272,10,81,5.2574953720277815,2.1972245773362196,4.204692619390966,2,0
2409.07703,2024-09-13,272,10,81,5.2574953720277815,2.1972245773362196,2.772588722239781,2,0
2409.08239,2024-09-13,272,10,21,5.529429087511423,2.302585092994046,0.0,1,1
2409.08240,2024-09-13,272,10,74,5.293304824724492,1.791759469228055,3.970291913552122,5,0
2409.08248,2024-09-13,272,10,74,5.293304824724492,1.791759469228055,4.07753744390572,5,0
2409.08264,2024-09-13,272,10,96,5.176149732573829,2.1972245773362196,3.8918202981106265,2,0
2409.08270,2024-09-13,272,10,74,5.293304824724492,1.791759469228055,4.143134726391533,5,0
2409.08278,2024-09-13,272,10,74,5.293304824724492,1.791759469228055,4.0943445622221,5,0
2409.08272,2024-09-16,108,7,52,4.04305126783455,1.6094379124341003,3.871201010907891,3,0
2409.08353,2024-09-16,108,7,12,4.574710978503383,1.9459101490553132,0.0,1,1
2409.08513,2024-09-16,108,7,33,4.330733340286331,1.791759469228055,2.995732273553991,2,0
